Month,Day,Year,Hour,UCDdemand_kW
2,16,2023,3,19491
2,16,2023,4,19762
2,16,2023,5,21092
2,16,2023,6,23081
2,16,2023,7,25258
2,16,2023,8,27392
2,16,2023,9,26884
2,16,2023,10,26249
2,16,2023,11,25735
2,16,2023,12,25442
2,16,2023,13,25182
2,16,2023,14,25222
2,16,2023,15,24626
2,16,2023,16,25571
2,16,2023,17,28042
2,16,2023,18,27940
2,16,2023,19,26932
2,16,2023,20,26500
2,16,2023,21,25140
2,16,2023,22,24308
2,16,2023,23,23606
2,17,2023,0,22919
2,17,2023,1,22696
2,17,2023,2,19975
2,17,2023,3,19394
2,17,2023,4,19746
2,17,2023,5,20961
2,17,2023,6,22578
2,17,2023,7,23820
2,17,2023,8,24818
2,17,2023,9,25148
2,17,2023,10,25281
2,17,2023,11,24799
2,17,2023,12,24603
2,17,2023,13,24187
2,17,2023,14,24165
2,17,2023,15,23796
2,17,2023,16,23399
2,17,2023,17,23185
2,17,2023,18,22951
2,17,2023,19,21878
2,17,2023,20,21446
2,17,2023,21,21030
2,17,2023,22,20166
2,17,2023,23,19558
2,18,2023,0,19255
2,18,2023,1,18184
2,18,2023,2,19427
