Hours since 00:00 Jan 1,Lifetime Hourly Data: Electricity from grid to system (kW),Lifetime Hourly Data: Electricity from grid to system (kW),Lifetime Hourly Data: System power generated (kW)
664.5,0,0,10244.4
665.5,-1.90284,-1.90284,-1.90284
666.5,-1.90284,-1.90284,-1.90284
667.5,-1.90284,-1.90284,-1.90284
668.5,-1.90284,-1.90284,-1.90284
669.5,-1.90284,-1.90284,-1.90284
670.5,-1.90284,-1.90284,-1.90284
671.5,-1.90284,-1.90284,-1.90284
672.5,-1.90284,-1.90284,-1.90284
673.5,-1.90284,-1.90284,-1.90284
674.5,-1.90284,-1.90284,-1.90284
675.5,-1.90284,-1.90284,-1.90284
676.5,-1.90284,-1.90284,-1.90284
677.5,-1.90284,-1.90284,-1.90284
678.5,-1.90284,-1.90284,-1.90284
679.5,0,0,7656.71
680.5,0,0,47471.2
681.5,0,0,57870.4
682.5,0,0,56580.6
683.5,0,0,48007.8
684.5,0,0,46895.9
685.5,0,0,47699.1
686.5,0,0,50339.9
687.5,0,0,48775.4
688.5,0,0,11607
689.5,-1.90284,-1.90284,-1.90284
690.5,-1.90284,-1.90284,-1.90284
691.5,-1.90284,-1.90284,-1.90284
692.5,-1.90284,-1.90284,-1.90284
693.5,-1.90284,-1.90284,-1.90284
694.5,-1.90284,-1.90284,-1.90284
695.5,-1.90284,-1.90284,-1.90284
696.5,-1.90284,-1.90284,-1.90284
697.5,-1.90284,-1.90284,-1.90284
698.5,-1.90284,-1.90284,-1.90284
699.5,-1.90284,-1.90284,-1.90284
700.5,-1.90284,-1.90284,-1.90284
701.5,-1.90284,-1.90284,-1.90284
702.5,-1.90284,-1.90284,-1.90284
703.5,0,0,5848.29
704.5,0,0,9515.85
705.5,0,0,31111.6
706.5,0,0,44218.9
707.5,0,0,52142.4
708.5,0,0,49996.4
709.5,0,0,52687.9
710.5,0,0,55824.4
711.5,0,0,52642
712.5,0,0,35928.2
713.5,-1.90284,-1.90284,-1.90284
714.5,-1.90284,-1.90284,-1.90284
715.5,-1.90284,-1.90284,-1.90284
716.5,-1.90284,-1.90284,-1.90284
717.5,-1.90284,-1.90284,-1.90284
718.5,-1.90284,-1.90284,-1.90284
719.5,-1.90284,-1.90284,-1.90284
720.5,-1.90284,-1.90284,-1.90284
721.5,-1.90284,-1.90284,-1.90284
722.5,-1.90284,-1.90284,-1.90284
723.5,-1.90284,-1.90284,-1.90284
724.5,-1.90284,-1.90284,-1.90284
725.5,-1.90284,-1.90284,-1.90284
726.5,-1.90284,-1.90284,-1.90284
727.5,0,0,4586.97
728.5,0,0,41730
729.5,0,0,53996.3
730.5,0,0,54422.1
731.5,0,0,50952
732.5,0,0,49512.5
733.5,0,0,52627.3
734.5,0,0,55737.1
735.5,0,0,52029.1
736.5,0,0,35597.2
